number,generation,series,status,core_count,max_freq,base_freq,TDP,smart cache,cache size,launch year
i7-1355U,13,i7,Launched,10,3.70 GHz,3.70 GHz,15.0,yes,12,2023
i7-1360P,13,i7,Launched,12,3.70 GHz,3.70 GHz,28.0,yes,18,2023
i7-13800HE,13,i7,Launched,14,2.50 GHz,2.50 GHz,45.0,yes,24,2023
i7-1370P,13,i7,Launched,14,3.90 GHz,3.90 GHz,28.0,yes,24,2023
i7-1365U,13,i7,Launched,10,3.90 GHz,3.90 GHz,15.0,yes,12,2023
i7-13705H,13,i7,Launched,14,3.70 GHz,3.70 GHz,45.0,yes,24,2023
i7-13700TE,13,i7,Launched,16,1.10 GHz,1.10 GHz,35.0,yes,30,2023
i7-13620H,13,i7,Launched,10,3.60 GHz,3.60 GHz,45.0,yes,24,2023
i7-13650HX,13,i7,Launched,14,3.60 GHz,3.60 GHz,55.0,yes,24,2023
i7-13700T,13,i7,Launched,16,3.60 GHz,3.60 GHz,35.0,yes,30,2023
i7-13700F,13,i7,Launched,16,4.10 GHz,4.10 GHz,65.0,yes,30,2023
i7-13700,13,i7,Launched,16,4.10 GHz,4.10 GHz,65.0,yes,30,2023
i7-13700K,13,i7,Launched,16,4.20 GHz,4.20 GHz,125.0,yes,30,2022
i7-13700KF,13,i7,Launched,16,4.20 GHz,4.20 GHz,125.0,yes,30,2022
i7-1265UL,12,i7,Launched,10,1.80 GHz,1.80 GHz,15.0,yes,12,2022
i7-1255UL,12,i7,Launched,10,1.70 GHz,1.70 GHz,15.0,yes,12,2022
i7-12800HL,12,i7,Launched,14,2.40 GHz,2.40 GHz,45.0,yes,24,2022
i7-12700HL,12,i7,Launched,14,2.30 GHz,2.30 GHz,45.0,yes,24,2022
i7-12850HX,12,i7,Launched,16,3.40 GHz,3.40 GHz,55.0,yes,25,2022
i7-12800HX,12,i7,Launched,16,3.40 GHz,3.40 GHz,55.0,yes,25,2022
i7-12650HX,12,i7,Launched,14,3.30 GHz,3.30 GHz,55.0,yes,24,2022
i7-1270PE,12,i7,Launched,12,3.30 GHz,3.30 GHz,28.0,yes,18,2022
i7-1265UE,12,i7,Launched,10,3.50 GHz,3.50 GHz,15.0,yes,12,2022
i7-1280P,12,i7,Launched,14,3.60 GHz,3.60 GHz,28.0,yes,24,2022
i7-1260U,12,i7,Launched,10,3.50 GHz,3.50 GHz,9.0,yes,12,2022
i7-1250U,12,i7,Launched,10,3.50 GHz,3.50 GHz,9.0,yes,12,2022
i7-1255U,12,i7,Launched,10,3.50 GHz,3.50 GHz,15.0,yes,12,2022
i7-1265U,12,i7,Launched,10,3.60 GHz,3.60 GHz,15.0,yes,12,2022
i7-1270P,12,i7,Launched,12,3.50 GHz,3.50 GHz,28.0,yes,18,2022
i7-1260P,12,i7,Launched,12,3.40 GHz,3.40 GHz,28.0,yes,18,2022
i7-12650H,12,i7,Launched,10,3.50 GHz,3.50 GHz,45.0,yes,24,2022
i7-12800H,12,i7,Launched,14,3.70 GHz,3.70 GHz,45.0,yes,24,2022
i7-12800HE,12,i7,Launched,14,4.60 GHz,4.60 GHz,45.0,yes,24,2022
i7-12700TE,12,i7,Launched,12,3.40 GHz,3.40 GHz,35.0,yes,25,2022
i7-12700T,12,i7,Launched,12,3.40 GHz,3.40 GHz,35.0,yes,25,2022
i7-12700F,12,i7,Launched,12,3.60 GHz,3.60 GHz,65.0,yes,25,2022
i7-12700,12,i7,Launched,12,3.60 GHz,3.60 GHz,65.0,yes,25,2022
i7-12700H,12,i7,Launched,14,3.50 GHz,3.50 GHz,45.0,yes,24,2022
i7-12700E,12,i7,Launched,12,3.60 GHz,3.60 GHz,65.0,yes,25,2022
i7-12700K,12,i7,Launched,12,3.80 GHz,3.80 GHz,125.0,yes,25,2021
i7-12700KF,12,i7,Launched,12,3.80 GHz,3.80 GHz,125.0,yes,25,2021
i7-11850HE,11,i7,Launched,8,2.60 GHz,2.60 GHz,45.0,yes,24,2021
i7-11600H,11,i7,Launched,6,2.90 GHz,2.90 GHz,45.0,yes,18,2021
i7-11390H,11,i7,Launched,4,3.40 GHz,3.40 GHz,35.0,yes,12,2021
i7-1195G7,11,i7,Launched,4,2.90 GHz,2.90 GHz,28.0,yes,12,2021
i7-1195G7,11,i7,Launched,4,2.90 GHz,2.90 GHz,28.0,yes,12,2021
i7-11800H,11,i7,Launched,8,2.30 GHz,2.30 GHz,45.0,yes,24,2021
i7-11850H,11,i7,Launched,8,2.50 GHz,2.50 GHz,45.0,yes,24,2021
i7-11700F,11,i7,Launched,8,2.50 GHz,2.50 GHz,65.0,yes,16,2021
i7-11700,11,i7,Launched,8,2.50 GHz,2.50 GHz,65.0,yes,16,2021
i7-11700T,11,i7,Launched,8,1.40 GHz,1.40 GHz,35.0,yes,16,2021
i7-11700KF,11,i7,Launched,8,3.60 GHz,3.60 GHz,125.0,yes,16,2021
i7-11700K,11,i7,Launched,8,3.60 GHz,3.60 GHz,125.0,yes,16,2021
i7-1180G7,11,i7,Launched,4,2.20 GHz,2.20 GHz,15.0,yes,12,2021
i7-11370H,11,i7,Launched,4,3.30 GHz,3.30 GHz,35.0,yes,12,2021
i7-11375H,11,i7,Launched,4,3.30 GHz,3.30 GHz,35.0,yes,12,2021
i7-1185G7E,11,i7,Launched,4,1.80 GHz,1.80 GHz,15.0,yes,12,2020
i7-1185GRE,11,i7,Launched,4,1.80 GHz,1.80 GHz,15.0,yes,12,2020
i7-1165G7,11,i7,Launched,4,2.80 GHz,2.80 GHz,28.0,yes,12,2020
i7-1165G7,11,i7,Launched,4,2.80 GHz,2.80 GHz,28.0,yes,12,2020
i7-1185G7,11,i7,Launched,4,3.00 GHz,3.00 GHz,28.0,yes,12,2020
i7-1160G7,11,i7,Launched,4,2.10 GHz,2.10 GHz,15.0,yes,12,2020
i7-10870H,10,i7,Launched,8,2.20 GHz,2.20 GHz,45.0,yes,16,2020
i7-10810U,10,i7,Launched,6,1.10 GHz,1.10 GHz,15.0,yes,12,2020
i7-10610U,10,i7,Launched,4,1.80 GHz,1.80 GHz,15.0,yes,8,2020
i7-1068NG7,10,i7,Launched,4,2.30 GHz,2.30 GHz,28.0,yes,8,2020
i7-10700K,10,i7,Launched,8,3.80 GHz,3.80 GHz,125.0,yes,16,2020
i7-10700KF,10,i7,Launched,8,3.80 GHz,3.80 GHz,125.0,yes,16,2020
i7-10700F,10,i7,Launched,8,2.90 GHz,2.90 GHz,65.0,yes,16,2020
i7-10700,10,i7,Launched,8,2.90 GHz,2.90 GHz,65.0,yes,16,2020
i7-10700T,10,i7,Launched,8,2.00 GHz,2.00 GHz,35.0,yes,16,2020
i7-10700E,10,i7,Launched,8,2.90 GHz,2.90 GHz,65.0,yes,16,2020
i7-10700TE,10,i7,Launched,8,2.00 GHz,2.00 GHz,35.0,yes,16,2020
i7-10875H,10,i7,Launched,8,2.30 GHz,2.30 GHz,45.0,yes,16,2020
i7-10850H,10,i7,Launched,6,2.70 GHz,2.70 GHz,45.0,yes,12,2020
i7-10750H,10,i7,Launched,6,2.60 GHz,2.60 GHz,45.0,yes,12,2020
i7-10710U,10,i7,Launched,6,1.10 GHz,1.10 GHz,15.0,yes,12,2019
