number,generation,series,status,core_count,max_freq,base_freq,TDP,smart cache,cache size,launch year
i7-4510U,4,i7,Discontinued,2,2.00 GHz,2.00 GHz,15.0,yes,4,2014
i7-4712MQ,4,i7,Discontinued,4,2.30 GHz,2.30 GHz,37.0,yes,6,2014
i7-4712HQ,4,i7,Discontinued,4,2.30 GHz,2.30 GHz,37.0,yes,6,2014
i7-4710MQ,4,i7,Discontinued,4,2.50 GHz,2.50 GHz,47.0,yes,6,2014
i7-4710HQ,4,i7,Discontinued,4,2.50 GHz,2.50 GHz,47.0,yes,6,2014
i7-4760HQ,4,i7,Discontinued,4,2.10 GHz,2.10 GHz,47.0,yes,6,2014
i7-4702EC,4,i7,Launched,4,2.00 GHz,2.00 GHz,27.0,yes,8,2014
i7-4700EC,4,i7,Launched,4,2.70 GHz,2.70 GHz,43.0,yes,8,2014
i7-4810MQ,4,i7,Discontinued,4,2.80 GHz,2.80 GHz,47.0,yes,6,2014
i7-4860HQ,4,i7,Discontinued,4,2.40 GHz,2.40 GHz,47.0,yes,6,2014
i7-4910MQ,4,i7,Discontinued,4,2.90 GHz,2.90 GHz,47.0,yes,8,2014
i7-4610M,4,i7,Discontinued,2,3.00 GHz,3.00 GHz,37.0,yes,4,2014
i7-4600M,4,i7,Discontinued,2,2.90 GHz,2.90 GHz,37.0,yes,4,2013
i7-4600U,4,i7,Discontinued,2,2.10 GHz,2.10 GHz,15.0,yes,4,2013
i7-4610Y,4,i7,Discontinued,2,1.70 GHz,1.70 GHz,11.5,yes,4,2013
i7-4771,4,i7,Discontinued,4,3.50 GHz,3.50 GHz,84.0,yes,8,2013
i7-4960HQ,4,i7,Discontinued,4,2.60 GHz,2.60 GHz,47.0,yes,6,2013
i7-4750HQ,4,i7,Discontinued,4,2.00 GHz,2.00 GHz,47.0,yes,6,2013
i7-4850HQ,4,i7,Discontinued,4,2.30 GHz,2.30 GHz,47.0,yes,6,2013
i7-4950HQ,4,i7,Discontinued,4,2.40 GHz,2.40 GHz,47.0,yes,6,2013
i7-4770R,4,i7,Discontinued,4,3.20 GHz,3.20 GHz,65.0,yes,6,2013
i7-4558U,4,i7,Discontinued,2,2.80 GHz,2.80 GHz,28.0,yes,4,2013
i7-4550U,4,i7,Discontinued,2,1.50 GHz,1.50 GHz,15.0,yes,4,2013
i7-4650U,4,i7,Launched,2,1.70 GHz,1.70 GHz,15.0,yes,4,2013
i7-4500U,4,i7,Discontinued,2,1.80 GHz,1.80 GHz,15.0,yes,4,2013
i7-4700EQ,4,i7,Launched,4,2.40 GHz,2.40 GHz,47.0,yes,6,2013
i7-4900MQ,4,i7,Discontinued,4,2.80 GHz,2.80 GHz,47.0,yes,8,2013
